Date,Open,High,Low,Close,Adj Close,Volume
2015-06-03,291.009399,292.293060,287.310730,290.774963,290.774963,22853244
2015-06-04,290.643677,295.527588,291.774963,291.936493,291.936493,19167231
2015-06-05,291.715271,296.273773,290.446381,294.941650,294.941650,23674446
2015-06-06,295.011139,295.947296,294.190369,295.816193,295.816193,14594860
2015-06-07,295.786011,296.570068,292.155884,292.686798,292.686798,17489691
2015-06-08,292.684174,298.121338,292.516418,297.279480,297.279480,30416862
2015-06-09,297.343201,301.309845,296.666656,298.123138,298.123138,36903683
2015-06-10,298.054138,296.875977,294.320374,296.185120,296.185120,20588738
2015-06-11,296.252411,297.836273,296.637695,296.584900,296.584900,18613299
2015-06-12,296.584900,298.484711,295.925934,297.788422,297.788422,18150589
2015-06-13,297.708130,301.245636,296.788818,300.921906,300.921906,17228150
2015-06-14,300.973724,304.102020,300.406586,302.203674,302.203674,15742624
2015-06-15,302.047089,306.371246,302.516846,305.381042,305.381042,25676467
2015-06-16,305.306244,324.786499,304.241699,324.111877,324.111877,53755329
2015-06-17,324.018860,334.400452,319.104095,322.906738,322.906738,56811399
2015-06-18,323.093262,321.361389,315.613434,319.649567,319.649567,39769191
2015-06-19,319.695770,323.215729,313.834961,314.889282,314.889282,30851313
2015-06-20,314.791443,316.462402,309.766998,315.669434,315.669434,26529480
2015-06-21,315.525238,315.684845,311.382599,314.279816,314.279816,13657434
2015-06-22,314.312012,320.762085,313.663147,319.686768,319.686768,22899948
2015-06-23,319.605225,321.007263,315.593201,315.627899,315.627899,19520284
2015-06-24,315.609802,315.278717,312.154449,312.154449,312.154449,22511226
2015-06-25,311.959778,314.504333,311.878815,314.099609,314.099609,20870763
2015-06-26,313.847351,318.501221,315.838104,318.215546,318.215546,18267146
2015-06-27,318.156769,328.333130,317.592438,327.877197,327.877197,26764990
2015-06-28,327.831482,328.114960,323.951294,326.871887,326.871887,19870832
2015-06-29,326.491211,335.035187,326.393097,335.111450,335.111450,45291227
2015-06-30,335.074982,348.241028,334.133148,342.140717,342.140717,57918845
2015-07-01,342.495789,343.709656,331.872314,338.642151,338.642151,35393217
2015-07-02,338.551788,342.135498,333.398041,334.484039,334.484039,28224070
2015-07-03,334.545563,338.838806,334.307007,341.417145,341.417145,25351359
2015-07-04,341.623596,348.237885,338.572174,347.477325,347.477325,20805008
2015-07-05,347.369476,365.618011,344.567108,363.277222,363.277222,58992786
2015-07-06,362.201752,368.471252,357.324097,360.050842,360.050842,65785332
2015-07-07,361.299530,363.095154,357.687744,357.181000,357.181000,38719442
2015-07-08,356.879089,368.232849,356.699921,364.890167,364.890167,49831829
2015-07-09,364.946777,364.669250,359.469727,361.089050,361.089050,54052039
2015-07-10,360.992493,396.755554,360.227814,383.128052,383.128052,135005379
2015-07-11,383.109192,401.433594,381.293701,394.183685,394.183685,55284965
2015-07-12,394.217346,422.799896,393.363373,419.014709,419.014709,76027767
2015-07-13,418.960785,418.785187,378.313110,395.308594,395.308594,83992826
2015-07-14,395.281525,397.940063,385.992462,386.220581,386.220581,38596265
